N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,T_c_guess,T_localize,T_localize_range,T_localize_spacing,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
20,1.2,3,0.01,0.1,20000,100,0,1,0,4,2.269,TRUE,0.15,0.005,FALSE,FALSE,data,FALSE,,1,TRUE,10,TRUE,FALSE,20000,5000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,C_mean,C_std,chi_mean,chi_std,,,,,,,,,,,,,,,,,,
1.2,20000,-1.987180011,0.016261833,-0.996592753,0.004632425,0.000184941,1.13E-05,1.78E-05,9.56E-07,,,,,,,,,,,,,,,,,,
1.21,20000,-1.987201011,0.016403207,0.996676253,0.004358199,0.000184005,7.68E-06,1.56E-05,4.72E-07,,,,,,,,,,,,,,,,,,
1.22,20000,-1.985679513,0.016732837,0.996268504,0.00450093,0.000188121,9.47E-06,1.66E-05,8.51E-07,,,,,,,,,,,,,,,,,,
1.23,20000,-1.985811012,0.017657347,-0.996290504,0.004748638,0.000205893,9.67E-06,1.82E-05,9.54E-07,,,,,,,,,,,,,,,,,,
1.24,20000,-1.984674513,0.017885291,0.995991504,0.004837032,0.000207311,7.43E-06,1.87E-05,1.02E-06,,,,,,,,,,,,,,,,,,
1.25,20000,-1.984029514,0.01768015,0.995840754,0.004737019,0.00019976,8.80E-06,1.79E-05,8.56E-07,,,,,,,,,,,,,,,,,,
1.26,20000,-1.980676015,0.020180997,-0.994845005,0.005742249,0.000254664,7.73E-06,2.63E-05,1.42E-06,,,,,,,,,,,,,,,,,,
1.27,20000,-1.980671515,0.020199349,0.994839505,0.005768161,0.000253147,9.62E-06,2.62E-05,1.63E-06,,,,,,,,,,,,,,,,,,
1.28,20000,-1.981160015,0.019830885,0.995026755,0.0054832,0.000238442,6.27E-06,2.36E-05,1.04E-06,,,,,,,,,,,,,,,,,,
1.29,20000,-1.979458016,0.021022984,-0.994572005,0.005812208,0.000264475,1.43E-05,2.60E-05,1.14E-06,,,,,,,,,,,,,,,,,,
1.3,20000,-1.978914515,0.021985367,-0.994351755,0.006225629,0.000287674,1.20E-05,2.97E-05,1.81E-06,,,,,,,,,,,,,,,,,,
1.31,20000,-1.977858017,0.021204516,-0.994142505,0.005924917,0.000262023,9.19E-06,2.71E-05,9.70E-07,,,,,,,,,,,,,,,,,,
1.32,20000,-1.977614017,0.021171836,0.994077006,0.005851539,0.000257424,1.10E-05,2.60E-05,1.19E-06,,,,,,,,,,,,,,,,,,
1.33,20000,-1.975554017,0.023479412,-0.993507006,0.006563984,0.000312044,6.81E-06,3.20E-05,1.36E-06,,,,,,,,,,,,,,,,,,
1.34,20000,-1.974540017,0.023792607,0.993178006,0.006767403,0.000316039,1.16E-05,3.42E-05,1.75E-06,,,,,,,,,,,,,,,,,,
1.35,20000,-1.973684518,0.022970399,0.992957507,0.006495046,0.000289168,1.22E-05,3.11E-05,1.32E-06,,,,,,,,,,,,,,,,,,
1.36,20000,-1.974730018,0.023045755,-0.993297256,0.006416527,0.000285669,1.01E-05,3.02E-05,1.41E-06,,,,,,,,,,,,,,,,,,
1.37,20000,-1.969697517,0.02636197,-0.991870757,0.0074136,0.000368714,1.16E-05,4.00E-05,1.55E-06,,,,,,,,,,,,,,,,,,
1.38,20000,-1.969736018,0.025380902,-0.991847257,0.007312752,0.000337745,1.31E-05,3.90E-05,1.59E-06,,,,,,,,,,,,,,,,,,
1.39,20000,-1.967474017,0.027677236,-0.991226258,0.008025428,0.000396612,1.16E-05,4.65E-05,1.65E-06,,,,,,,,,,,,,,,,,,
1.4,20000,-1.964327018,0.027245499,-0.990393258,0.007810828,0.000377816,1.32E-05,4.37E-05,1.05E-06,,,,,,,,,,,,,,,,,,
1.41,20000,-1.964139518,0.027854976,0.990328758,0.007972803,0.000388982,1.35E-05,4.50E-05,1.88E-06,,,,,,,,,,,,,,,,,,
1.42,20000,-1.962641017,0.030045222,0.989896758,0.008713669,0.000449207,1.50E-05,5.30E-05,2.92E-06,,,,,,,,,,,,,,,,,,
1.43,20000,-1.959332017,0.029599733,-0.988786009,0.008938044,0.000428592,1.70E-05,5.58E-05,3.05E-06,,,,,,,,,,,,,,,,,,
1.44,20000,-1.961205517,0.029470699,0.989480509,0.008587639,0.000421533,1.35E-05,5.12E-05,1.61E-06,,,,,,,,,,,,,,,,,,
1.45,20000,-1.955373017,0.031674144,-0.98763451,0.00986341,0.000479932,1.51E-05,6.65E-05,4.90E-06,,,,,,,,,,,,,,,,,,
1.46,20000,-1.955112016,0.031840038,0.98767826,0.009467744,0.000471723,1.34E-05,6.10E-05,1.57E-06,,,,,,,,,,,,,,,,,,
1.47,20000,-1.954955515,0.032511976,0.98776701,0.009468957,0.000486954,2.25E-05,6.12E-05,3.18E-06,,,,,,,,,,,,,,,,,,
1.48,20000,-1.951902015,0.033276765,0.98679651,0.009828787,0.00050447,2.38E-05,6.53E-05,2.52E-06,,,,,,,,,,,,,,,,,,
1.49,20000,-1.950076514,0.032818438,0.98633976,0.009731715,0.000483352,1.76E-05,6.35E-05,3.03E-06,,,,,,,,,,,,,,,,,,
1.5,20000,-1.948412514,0.034019048,-0.98584676,0.010117274,0.000516483,2.64E-05,6.76E-05,2.43E-06,,,,,,,,,,,,,,,,,,
1.51,20000,-1.946980013,0.035348839,-0.98530576,0.010701764,0.000546502,2.13E-05,7.53E-05,2.33E-06,,,,,,,,,,,,,,,,,,
1.52,20000,-1.941652011,0.036568044,0.983885511,0.011022041,0.00057618,1.25E-05,8.05E-05,2.79E-06,,,,,,,,,,,,,,,,,,
1.53,20000,-1.941649511,0.036176029,0.983742511,0.011183188,0.000561384,2.09E-05,8.17E-05,2.48E-06,,,,,,,,,,,,,,,,,,
1.54,20000,-1.940203512,0.038458737,0.98327301,0.011987598,0.000621102,1.16E-05,9.29E-05,3.58E-06,,,,,,,,,,,,,,,,,,
1.55,20000,-1.935913509,0.03856289,0.98209451,0.011964661,0.000620288,2.34E-05,9.18E-05,2.72E-06,,,,,,,,,,,,,,,,,,
1.56,20000,-1.93652551,0.037712913,0.982205511,0.011878586,0.000585135,1.72E-05,9.08E-05,3.45E-06,,,,,,,,,,,,,,,,,,
1.57,20000,-1.929196007,0.041290369,0.97993551,0.013404698,0.000692718,1.24E-05,0.000114128,1.04E-05,,,,,,,,,,,,,,,,,,
1.58,20000,-1.927958508,0.043108447,0.979369509,0.014093353,0.000745127,7.66E-06,0.000126311,6.77E-06,,,,,,,,,,,,,,,,,,
1.59,20000,-1.926806507,0.040633576,-0.97942926,0.012596055,0.000651981,1.97E-05,0.000100221,4.26E-06,,,,,,,,,,,,,,,,,,
1.6,20000,-1.924006007,0.043639006,-0.978589009,0.0136453,0.000742388,1.92E-05,0.000115925,6.21E-06,,,,,,,,,,,,,,,,,,
1.61,20000,-1.922657006,0.043334296,0.977914759,0.013854986,0.000724384,2.31E-05,0.000120047,3.75E-06,,,,,,,,,,,,,,,,,,
1.62,20000,-1.916865504,0.043968064,-0.975947509,0.014873464,0.000733128,2.97E-05,0.000137602,5.64E-06,,,,,,,,,,,,,,,,,,
1.63,20000,-1.915184504,0.044374281,0.975591758,0.014203918,0.000738279,1.91E-05,0.00012434,4.40E-06,,,,,,,,,,,,,,,,,,
1.64,20000,-1.910664004,0.048728019,-0.974132758,0.016190178,0.000883537,3.05E-05,0.000158644,3.11E-06,,,,,,,,,,,,,,,,,,
1.65,20000,-1.906890002,0.046113756,0.973235007,0.01498983,0.000775886,3.29E-05,0.000136178,3.64E-06,,,,,,,,,,,,,,,,,,
1.66,20000,-1.904687501,0.045181001,-0.972297007,0.01497695,0.000741759,1.88E-05,0.000134737,4.28E-06,,,,,,,,,,,,,,,,,,
1.67,20000,-1.901751502,0.04819396,0.971563006,0.015783687,0.000831517,2.91E-05,0.00014849,6.20E-06,,,,,,,,,,,,,,,,,,
1.68,20000,-1.898354001,0.050197322,-0.970311506,0.017292795,0.00089235,1.85E-05,0.000179376,1.14E-05,,,,,,,,,,,,,,,,,,
1.69,20000,-1.894187001,0.050378065,0.969037756,0.017017582,0.00088309,3.04E-05,0.000170255,7.82E-06,,,,,,,,,,,,,,,,,,
1.7,20000,-1.894289,0.051991392,-0.969190256,0.017470284,0.000939947,3.88E-05,0.000178484,8.84E-06,,,,,,,,,,,,,,,,,,
1.71,20000,-1.8868055,0.053618658,0.966097004,0.018791204,0.000984644,2.93E-05,0.000207246,7.50E-06,,,,,,,,,,,,,,,,,,
1.72,20000,-1.884573501,0.054264707,-0.965573504,0.019861933,0.000989434,4.55E-05,0.000227783,9.86E-06,,,,,,,,,,,,,,,,,,
1.73,20000,-1.879773501,0.0541357,-0.964478503,0.018277057,0.000977221,3.50E-05,0.00019269,6.26E-06,,,,,,,,,,,,,,,,,,
1.74,20000,-1.86982,0.058470486,-0.959312752,0.025094754,0.001130118,3.11E-05,0.000361563,1.89E-05,,,,,,,,,,,,,,,,,,
1.75,20000,-1.870224999,0.057159684,0.960628253,0.02106334,0.001060103,3.25E-05,0.000255243,7.78E-06,,,,,,,,,,,,,,,,,,
1.76,20000,-1.862393499,0.058594934,-0.958587251,0.020558893,0.001105965,3.93E-05,0.00023843,8.15E-06,,,,,,,,,,,,,,,,,,
1.77,20000,-1.86121,0.059265554,-0.957777001,0.02202217,0.001116153,4.54E-05,0.00027197,9.38E-06,,,,,,,,,,,,,,,,,,
1.78,20000,-1.859519,0.059366479,-0.957645751,0.021358229,0.001106283,3.88E-05,0.000257381,9.73E-06,,,,,,,,,,,,,,,,,,
1.79,20000,-1.855253999,0.058852574,0.95643725,0.021018343,0.001081344,3.72E-05,0.000246427,1.35E-05,,,,,,,,,,,,,,,,,,
1.8,20000,-1.8502555,0.063260096,0.95402875,0.024088184,0.001236173,3.87E-05,0.000322176,8.54E-06,,,,,,,,,,,,,,,,,,
1.81,20000,-1.839822,0.065612106,-0.949610499,0.025457335,0.001323303,4.31E-05,0.000358607,1.30E-05,,,,,,,,,,,,,,,,,,
1.82,20000,-1.833292499,0.068256169,0.946796499,0.028464894,0.001401085,4.43E-05,0.000448859,2.04E-05,,,,,,,,,,,,,,,,,,
1.83,20000,-1.831923,0.062456722,0.948367249,0.023178231,0.001156702,3.18E-05,0.000292771,1.19E-05,,,,,,,,,,,,,,,,,,
1.84,20000,-1.825606,0.070789638,-0.945234249,0.02773083,0.001484852,2.33E-05,0.000416621,1.19E-05,,,,,,,,,,,,,,,,,,
1.85,20000,-1.824698,0.067416087,-0.944565249,0.027767828,0.001321823,4.50E-05,0.00041813,1.26E-05,,,,,,,,,,,,,,,,,,
1.86,20000,-1.816954999,0.071356976,-0.941802999,0.029772373,0.00146523,6.35E-05,0.000477321,2.99E-05,,,,,,,,,,,,,,,,,,
1.87,20000,-1.812759499,0.069508562,-0.940882249,0.027128912,0.00138873,4.99E-05,0.000391425,9.92E-06,,,,,,,,,,,,,,,,,,
1.88,20000,-1.806653999,0.072475888,0.938044749,0.029773448,0.001489616,4.73E-05,0.00047044,1.81E-05,,,,,,,,,,,,,,,,,,
1.89,20000,-1.799204999,0.070484665,0.934940749,0.028945728,0.001397438,3.64E-05,0.000442575,2.12E-05,,,,,,,,,,,,,,,,,,
1.9,20000,-1.792201499,0.07722641,0.933726249,0.030860878,0.001654662,5.48E-05,0.000505831,2.30E-05,,,,,,,,,,,,,,,,,,
1.91,20000,-1.777603499,0.081709802,0.922374249,0.043933633,0.001821124,6.30E-05,0.001013,4.37E-05,,,,,,,,,,,,,,,,,,
1.92,20000,-1.774736,0.075394166,0.924949999,0.032786277,0.001543845,3.31E-05,0.000562197,1.51E-05,,,,,,,,,,,,,,,,,,
1.93,20000,-1.765508499,0.080372889,0.9219395,0.035034173,0.001731121,7.33E-05,0.000635464,2.16E-05,,,,,,,,,,,,,,,,,,
1.94,20000,-1.762192999,0.081459994,0.920130749,0.036780417,0.001748445,5.87E-05,0.000700332,4.12E-05,,,,,,,,,,,,,,,,,,
1.95,20000,-1.755041,0.084947385,-0.914596,0.043906568,0.001895179,3.24E-05,0.000992664,3.90E-05,,,,,,,,,,,,,,,,,,
1.96,20000,-1.740034499,0.090175073,-0.907498999,0.051322485,0.002116874,5.79E-05,0.001337,8.29E-05,,,,,,,,,,,,,,,,,,
1.97,20000,-1.7349695,0.09172649,0.905686,0.048945396,0.002148451,7.93E-05,0.00121794,6.63E-05,,,,,,,,,,,,,,,,,,
1.98,20000,-1.733899,0.089443992,0.906968999,0.04662532,0.002040329,7.65E-05,0.00109332,6.54E-05,,,,,,,,,,,,,,,,,,
1.99,20000,-1.728588,0.086596109,0.906406249,0.040426955,0.001892367,7.49E-05,0.000818597,5.19E-05,,,,,,,,,,,,,,,,,,
2,20000,-1.72508,0.084744105,0.90613725,0.037974832,0.001801946,5.96E-05,0.000719175,3.07E-05,,,,,,,,,,,,,,,,,,
2.01,20000,-1.7169205,0.08678866,-0.90344775,0.040534235,0.001872024,5.37E-05,0.000814852,3.13E-05,,,,,,,,,,,,,,,,,,
2.02,20000,-1.690029,0.118654579,0.1293655,0.861622691,0.003436463,7.20E-05,0.3673208,0.003838555,,,,,,,,,,,,,,,,,,
2.03,20000,-1.696765,0.096942637,-0.892007,0.046348941,0.002284851,6.68E-05,0.001060565,4.14E-05,,,,,,,,,,,,,,,,,,
2.04,20000,-1.689289,0.092751843,0.889381249,0.045930038,0.002053194,5.31E-05,0.001028047,5.76E-05,,,,,,,,,,,,,,,,,,
2.05,20000,-1.672314,0.101669147,-0.8773445,0.057330365,0.002457239,8.67E-05,0.001598349,7.22E-05,,,,,,,,,,,,,,,,,,
2.06,20000,-1.635351,0.128629999,-0.84072825,0.115138887,0.003906833,0.000131714,0.006417492,0.000483455,,,,,,,,,,,,,,,,,,
2.07,20000,-1.652934,0.107855977,-0.87066475,0.058337568,0.002710855,0.000106784,0.001642863,4.79E-05,,,,,,,,,,,,,,,,,,
2.08,20000,-1.632984,0.104303575,0.85097475,0.074797751,0.002515289,9.01E-05,0.002691725,8.65E-05,,,,,,,,,,,,,,,,,,
2.09,20000,-1.631776,0.10660575,-0.8587775,0.064083133,0.002595082,0.000114523,0.001953403,0.000128159,,,,,,,,,,,,,,,,,,
2.1,20000,-1.60709,0.111093618,0.83920325,0.074580235,0.002798871,8.92E-05,0.002659225,0.000124501,,,,,,,,,,,,,,,,,,
2.11,20000,-1.612849,0.11361665,-0.84644625,0.071370352,0.00289541,5.74E-05,0.002416113,9.66E-05,,,,,,,,,,,,,,,,,,
2.119,20000,-1.6012145,0.111962405,0.84304325,0.066156612,0.002790597,7.77E-05,0.002061288,6.61E-05,,,,,,,,,,,,,,,,,,
2.124,20000,-1.5921205,0.111617645,-0.8286155,0.093356297,0.002767781,5.84E-05,0.00407535,0.000122636,,,,,,,,,,,,,,,,,,
2.129,20000,-1.5873945,0.111576325,0.835082,0.070834513,0.002747518,8.48E-05,0.00238323,7.32E-05,,,,,,,,,,,,,,,,,,
2.134,20000,-1.582533,0.112737234,0.82789275,0.077466933,0.002803554,7.17E-05,0.002804569,9.89E-05,,,,,,,,,,,,,,,,,,
2.139,20000,-1.5946575,0.113381095,-0.83988825,0.069077139,0.002811332,0.000111602,0.00222874,8.01E-05,,,,,,,,,,,,,,,,,,
2.144,20000,-1.553448,0.129256494,0.808633,0.098483203,0.003648725,6.52E-05,0.004501221,0.000332848,,,,,,,,,,,,,,,,,,
2.149,20000,-1.5450045,0.123845711,-0.80021,0.098204778,0.003330994,5.25E-05,0.004494701,0.000167064,,,,,,,,,,,,,,,,,,
2.154,20000,-1.542852001,0.12407867,0.801052,0.096604843,0.003316391,8.23E-05,0.004335786,0.000352161,,,,,,,,,,,,,,,,,,
2.159,20000,-1.5560065,0.1202701,-0.8118785,0.095910055,0.003114635,9.79E-05,0.004213245,0.000264761,,,,,,,,,,,,,,,,,,
2.164,20000,-1.5525465,0.120582214,-0.8102245,0.09112439,0.003097595,5.49E-05,0.003813098,0.000233419,,,,,,,,,,,,,,,,,,
2.169,20000,-1.536221,0.126870049,0.797586,0.106017192,0.003422703,6.91E-05,0.005194131,0.000238845,,,,,,,,,,,,,,,,,,
2.174,20000,-1.550655,0.126273002,-0.8100655,0.092938895,0.003371561,7.13E-05,0.00396143,0.000118172,,,,,,,,,,,,,,,,,,
2.179,20000,-1.5163355,0.126517732,0.78328625,0.099035255,0.003371627,7.38E-05,0.004505365,0.000135998,,,,,,,,,,,,,,,,,,
